10	6.96
16	10.00
26	15.16
40	22.45
64	34.38
100	52.34
159	82.67
252	128.00
399	234.20
631	323.40
1000	513.40
1585	844.50
2512	1385.00
3982	2356.00
6310	3985.00
10000	6745.00
